age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
21.0, Local-gov,38771.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States,0
43.0, Private,188436.0, Assoc-voc,11.0, Divorced, Prof-specialty, Not-in-family, White, Male,0.0,0.0,48.0, United-States,0
69.0, Private,182862.0, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, White, Male,15831.0,0.0,40.0, United-States,1
60.0, Private,121832.0, 11th,7.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,1
29.0, Private,34292.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,38.0, United-States,0
51.0, Private,138847.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,1
57.0, Private,108426.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Black, Male,0.0,0.0,48.0, England,0
51.0, Self-emp-inc,124963.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,1
29.0, Private,184806.0, Prof-school,15.0, Never-married, Prof-specialty, Other-relative, White, Male,0.0,0.0,50.0, United-States,0
31.0, Private,202729.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,50.0, United-States,0
57.0, Private,89182.0, HS-grad,9.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
20.0, ?,238685.0, 11th,7.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States,0
38.0, Private,105150.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States,1
30.0, Private,36383.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, Mexico,1
33.0, Local-gov,300681.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,0
